country,year,regime,defence_gdp,threat_land_log,threat_score_log,debt_gdp,deficit_gdp,gdp_growth,immigration_rate,gov_left_right,gov_eu_position,election_year
FR,2002,1,2.05857264018165,0.3889751208119468,3.8826422482687426,61.254617,-3.175096,1.1,NA,6.979368161434978,7.698325112107623,1
FR,2003,1,2.1064709567846,0,4.145389145011511,65.363466,-4.094857,1,NA,6.979368161434978,7.698325112107623,0
FR,2004,1,2.11416633859403,0.04053345076151331,3.998015085250475,66.876638,-3.554809,2.9,NA,7.396801522842639,7.127026649746194,0
FR,2005,2,2.02813701732744,0.13554915045219942,3.160942870567079,68.1877,-3.50495,1.9,NA,7.396801522842639,7.127026649746194,0
FR,2006,2,1.97737744775679,0.00994685563000092,3.423200895636922,65.400123,-2.655539,2.7,4.769029585573284,7.396801522842639,7.127026649746194,0
FR,2007,2,1.9109577778942901,0,3.84231022659335,65.478906,-2.990289,2.5,4.61905412462066,7.401212238805971,7.098748059701493,1
FR,2008,2,1.89934504679172,0,3.5210073150715173,69.819095,-3.500985,0.4,4.633979184183253,7.401212238805971,7.098748059701493,0
FR,2009,2,2.09877791453034,0.08933515330856838,3.9549823546935383,84.056534,-7.383188,-2.8,4.61490220718106,7.401212238805971,7.098748059701493,0
FR,2010,2,1.96864375039496,0,3.3743504771600454,86.279323,-7.158985,2,4.74971286222571,7.399137026239067,7.101119533527696,0
FR,2011,2,1.88794614981494,0.025698499892321917,4.3638857488571405,88.747569,-5.299385,2.4,4.921857418523212,7.399137026239067,7.101119533527696,0
FR,2012,2,1.87154409463222,0.07676624796696996,4.786486913718699,91.740264,-5.168547,0.2,5.016025327028365,3.2492999999999994,7.9448,1
FR,2013,2,1.84711648361859,0.013279283169719765,5.000033976825984,94.559771,-4.93569,0.8,5.163874887862641,3.2492999999999994,7.9448,0
FR,2014,3,1.85952906556899,0.41555194176667054,5.072535323474535,96.163266,-4.571356,1,5.144380843448552,3.292520779220779,7.944348051948053,0
FR,2015,3,1.86973268204402,0,4.773935074271856,96.979107,-3.887214,1.1,5.48045625041671,3.292520779220779,7.944348051948053,0
FR,2016,3,1.85171809616119,0.10094660815199029,4.657893126777247,98.14864,-3.762716,0.9,5.668039013727087,3.292520779220779,7.944348051948053,0
FR,2017,3,1.8523088187904,0.14275601795254442,4.105607277504393,98.761564,-3.364914,2.1,5.5324355331258515,7.245307441860465,7.056890232558139,1
FR,2018,3,1.84604257144589,0.03443196013935392,3.4565937558621047,98.528337,-2.321672,1.6,5.776246622515987,7.245307441860465,7.056890232558139,0
FR,2019,3,1.85288520696513,0.4191014906269849,4.064708959228447,98.157764,-2.391688,2,5.730321013802979,7.245307441860465,7.056890232558139,0
FR,2020,3,2.02167455284232,0.004138315855336756,3.614149189025976,114.908665,-8.930231,-7.4,4.907649061409171,6.358025161290323,8.300304731182797,0
FR,2021,3,1.98022225807935,0.012857423629639597,2.508453407411022,112.786482,-6.583672,6.9,5.736323850815804,6.358025161290323,8.300304731182797,0
FR,2022,4,1.95772067476703,4.312328859747507,5.160670138302429,111.364105,-4.737402,2.7,7.205797158575987,6.0122040000000005,8.723939999999999,1
FR,2023,4,1.95099683800051,4.205682332252502,5.513180745411445,109.645768,-5.439606,1.6,6.847790060548753,6.0122040000000005,8.723939999999999,0
GB,1995,1,2.85419949053587,4.099568042192897,4.39018149863174,43.495481,-4.97005,3.53339096338078,NA,7.426100000000001,2.3243,0
GB,1996,1,2.72459232198324,0.5458696982193677,2.358543469985431,43.541384,-3.632736,2.61491606949487,NA,7.426100000000001,2.3243,0
GB,1997,1,2.56014877225605,0.10652937693337662,2.4998087759549485,43.895658,-1.995328,4.8799853038024,NA,4.3562,6.9923,1
GB,1998,1,2.49596227501881,1.655411652029233,3.463134070843028,41.789422,-0.207718,3.24631482881618,NA,4.3562,6.9923,0
GB,1999,1,2.42290959332375,2.0485747724584207,2.983246413392,40.275449,0.76209,2.94445869854798,NA,4.3562,6.9923,0
GB,2000,1,2.3727966452319,0.03457517670433576,2.4654339600248747,37.549004,1.39578,4.52438074810904,NA,4.3562,6.9923,0
GB,2001,1,2.41112210130721,0.6008860678778595,1.8883045953464324,34.823848,0.339231,2.39102229602824,NA,4.3562,6.9923,1
GB,2002,1,2.48565967470705,0.11790498160927222,2.0784360094694145,35.339339,-1.945765,1.70902736258567,NA,4.3562,6.9923,0
GB,2003,1,2.55206201518244,0,2.3025213518612624,36.642318,-3.1935,3.21851612669614,NA,4.3562,6.9923,0
GB,2004,1,2.49782136751626,0.008377116129291814,2.1861190463803997,39.666411,-3.143143,2.32601853325993,NA,4.3562,6.9923,0
GB,2005,2,2.42271607573388,0.027715320268254608,1.4944924258835681,40.868941,-3.130877,2.7906547174688,NA,4.3562,6.9923,1
GB,2006,2,2.36967440284241,0.00725944858708334,1.6705765279653466,41.886366,-2.737809,2.18982132415704,NA,4.3562,6.9923,0
GB,2007,2,2.37465777127738,0,2.0127300008888587,42.976576,-2.631581,2.93091133582351,NA,4.3562,6.9923,0
GB,2008,2,2.4871500848402,0,1.775757559465204,50.554014,-5.047631,-0.0494116727402769,NA,4.3562,6.9923,0
GB,2009,2,2.64772453259797,0.09988039805996315,2.248108667667019,64.473629,-9.972009,-4.58740819226323,NA,4.3562,6.9923,0
GB,2010,2,2.56799960467203,0,1.645460126037715,75.518167,-9.247456,2.26054460931586,NA,6.934615934065933,3.404606593406594,1
GB,2011,2,2.49903987829525,0.003910634914687284,2.356490262184857,81.066442,-7.424915,0.851437739020326,NA,6.934615934065933,3.404606593406594,0
GB,2012,2,2.41781748358099,0.030113040191097663,3.0597943953856603,84.090392,-7.959073,1.52826034721852,NA,6.934615934065933,3.404606593406594,0
GB,2013,2,2.29232047399432,0.009971024096438592,3.283911582008827,84.948342,-5.294253,1.71846961308464,NA,6.934615934065933,3.404606593406594,0
GB,2014,3,2.18448549185402,0.21592869583748303,3.4624348760430155,86.511408,-5.467328,3.16017351468152,NA,6.934615934065933,3.404606593406594,0
GB,2015,3,2.04890800410498,0,3.1514624521751124,87.340043,-4.534973,2.14040560033371,NA,7.4261,2.3243,1
GB,2016,3,1.98449096820719,0.08068298431546585,2.9564898405570426,87.250961,-3.280351,2.20652020635357,NA,7.4261,2.3243,0
GB,2017,3,1.95002885979327,0.023800545916238775,2.4708059795160837,86.116968,-2.483142,3.02322219840339,NA,7.4261,2.3243,1
GB,2018,3,1.94455569473457,0.008915015477162683,1.8527634152033106,85.583905,-2.232129,1.55133095078786,NA,7.4261,2.3243,0
GB,2019,3,1.98525373099586,0.5265890341390446,2.2898755163894178,84.936712,-2.38029,1.25629899760824,NA,7.4261,2.3243,1
GB,2020,3,2.16304030547387,0.018629694382154234,1.7570914523665313,104.787031,-12.912854,-10.047896637362,NA,7.4261,2.3243,0
GB,2021,3,2.07241748249759,0.010978860973860366,1.1710055419006635,103.446836,-7.537461,8.5431118453255,NA,7.4261,2.3243,0
