country,year,regime,threat_land_log,threat_score_log,gpr_mean
DE,2000,1,0.20401276316745826,3.1020629218855875,0.14560667177041373
DE,2001,1,1.838111345842653,2.821112844496637,0.4578369464725256
DE,2002,1,0.2940585548192727,2.7711172895362965,0.40342845519383747
DE,2003,1,0,2.9820830098503452,0.6548760024209818
DE,2004,1,0.00966832260626698,2.959027545814412,0.3778511161605517
DE,2005,2,0.15640723235596452,2.368265663168838,0.3332845779756705
DE,2006,2,0.033642754923726606,2.681169233544232,0.3548716641962528
DE,2007,2,0,2.8353747141807664,0.2821961355706056
DE,2008,2,0,2.6316504769293094,0.23720714139441648
DE,2009,2,0.30779571191147004,2.924677236253835,0.22178313943247
DE,2010,2,0,2.395730906967962,0.26521002252896625
DE,2011,2,0.024838557995980195,3.357690769287392,0.26031916836897534
DE,2012,2,0.14988532073976377,4.729102173186619,0.24035267159342766
DE,2013,2,0.0447605828530324,5.051256609221311,0.2836620956659317
DE,2014,3,0.9013370004906365,5.234857784240239,0.5414480517307917
DE,2015,3,0,4.887100595370312,0.5209106157223383
DE,2016,3,0.262685839207777,4.675872795987507,0.4493142068386078
DE,2017,3,0.14439870073478955,4.165017974146799,0.46934999773899716
DE,2018,3,0.04721059768530739,3.492025851080754,0.5053521282970905
DE,2019,3,0.2619989763723933,3.6620205979039704,0.4287399301926295
DE,2020,3,0.016171374782009536,3.1683765108508446,0.4226485478381316
DE,2021,3,0.045721313944537594,2.57362832635362,0.4357735564311345
DE,2022,4,5.324688397982566,6.139612344681246,1.2530546933412552
DE,2023,4,5.2091666012313516,6.4393537346151035,0.6279067223270735
DK,1995,1,4.509812731085542,4.638656827362729,0.035972066378841795
DK,1996,1,0.2123641583478202,2.114487225698296,0.015430096536874771
DK,1997,1,0.18781029088851622,2.0687122109674365,0.012901142957465103
DK,1998,1,2.1638941553413105,2.9820096264005094,0.015582900610752404
DK,1999,1,2.6395350955756833,3.0054024364223313,0.010047847696114331
DK,2000,1,0.06431520563805947,1.7252238609001413,0.012824923808996877
DK,2001,1,0.9253899361217932,1.6200808078945705,0.02715641469694674
DK,2002,1,0.2774881990931341,1.5628332009415624,0.05682147340849042
DK,2003,1,0,1.682394529202752,0.03313831189492097
DK,2004,1,0.0021118758385035175,1.8175997944030262,0.025744625910495717
DK,2005,2,0.08287141941177217,1.522068103514358,0.030305431534846623
DK,2006,2,0.04022362549934785,1.7634714379747465,0.0450491471371303
DK,2007,2,0,1.7332914333971572,0.016540644282940775
DK,2008,2,0,1.6807181385470695,0.02478442806750536
DK,2009,2,0.37281496748978693,1.8346033215451019,0.04665829516792049
DK,2010,2,0,1.367907282721405,0.0389659656987836
DK,2011,2,0.008418149861239514,2.1252393099882854,0.027279924950562418
DK,2012,2,0.14158057927418347,3.96248931958643,0.01423679618164897
DK,2013,2,0.053555963269718815,4.303108607370725,0.01802899152971804
DK,2014,3,0.8294767525858063,4.653482168239173,0.029561698359126847
DK,2015,3,0,4.29801905177696,0.04935723706148565
DK,2016,3,0.2917319096305395,4.036237998116358,0.03174634510651231
DK,2017,3,0.05262023499014784,3.527929105948143,0.02233479292287181
DK,2018,3,0.030141272374550106,2.866599446477458,0.04015490311818818
DK,2019,3,0.15892846666097002,2.9416131910066006,0.037781894051780306
DK,2020,3,0.024763997483557537,2.4623654765975798,0.022560846681396168
DK,2021,3,0.05578242378144579,2.1380920805530206,0.03684832667931914
DK,2022,4,5.175782570927063,5.9796373193729275,0.09401815881331761
DK,2023,4,5.0505339402027545,6.252227499229017,0.07138915771308045
ES,1995,1,4.564478276262705,5.920772640085926,0.08570484630763531
ES,1996,1,0.16006334726761726,4.654337948075474,0.07903935946524143
ES,1997,1,0.20352200437579374,4.850505831111965,0.08545023109763861
ES,1998,1,2.296092444467711,5.861549489583558,0.07003066036850214
ES,1999,1,2.606865035095618,5.193765629288322,0.062349261405567326
ES,2000,1,0.07152033863271429,5.03571146578531,0.05523032074173292
ES,2001,1,1.0123547385260876,4.200771245971319,0.13805357304712138
ES,2002,1,0.7483953211879111,4.5694047251998455,0.14809386183818182
ES,2003,1,0,4.826607758207742,0.26130491867661476
ES,2004,1,0.16271448914582362,4.639198634184282,0.28194293193519115
ES,2005,2,0.05944676339143065,3.7165544746098846,0.14919887545208135
ES,2006,2,0.0022375528851258887,3.8473934993043017,0.10030943279465039
ES,2007,2,0,4.387636682607615,0.09151569350312154
ES,2008,2,0,4.0856640519388705,0.07569776941090822
ES,2009,2,0.018919290654158687,4.527560848573706,0.06144305178895593
ES,2010,2,0,3.969895077466186,0.07601998032381137
ES,2011,2,0.011534809733647068,4.560250297110019,0.07385711682339509
ES,2012,2,0.0270766516540734,4.582223188472225,0.06580955566217501
ES,2013,2,0.003001195509798064,4.50895322559356,0.04202497641866406
ES,2014,3,0.1323591530551187,4.5210199047631585,0.07133171086510022
ES,2015,3,0,4.329284328828629,0.09321073380609353
ES,2016,3,0.03035438206827334,4.185312870722315,0.08738826618840297
