country,year,threat_land_log,gpr_mean
GB,2015,0,0.9989469349384308
GB,2016,0.08068298431546585,0.9006747057040533
GB,2017,0.023800545916238775,0.9144709358612696
GB,2018,0.008915015477162683,1.0689780513445537
GB,2019,0.5265890341390446,0.9725230584541956
GB,2020,0.018629694382154234,0.7453187753756841
GB,2021,0.010978860973860366,0.8197903831799825
GB,2022,3.53785791706169,1.7720248301823933
GB,2023,3.422492508863573,1.2341475437084835
HU,2010,0,0.008080896087146053
HU,2011,0.06720115739495965,0.006062166532501578
HU,2012,0.2634723117669542,0.00910893230078121
HU,2013,0.06514226968250833,0.005677605338860303
HU,2014,1.5620400084633992,0.04233468339468042
HU,2015,0,0.05643506099780401
HU,2016,0.30850878616332084,0.0402956532780081
HU,2017,0.3650718648378889,0.026346048340201378
HU,2018,0.11118974190573273,0.029317584858896833
HU,2019,0.05392597081243157,0.030125843283409875
HU,2020,0.006173842347798134,0.024650079275791843
HU,2021,0.05203795713993317,0.038915958954021335
HU,2022,6.355078071889119,0.20807504343489805
HU,2023,6.272466242165229,0.09423205691079299
IT,2010,0,0.07513660440842311
IT,2011,0.11705087098340075,0.20948001990715662
IT,2012,0.23704315327838954,0.08141554364313681
IT,2013,0.0189312154361249,0.1082749745498101
IT,2014,0.6630584556512883,0.15704582507411638
IT,2015,0,0.1393066436673204
IT,2016,0.23114796815321983,0.14858478059371313
IT,2017,0.5478547678012721,0.12278320950766404
IT,2018,0.1400070460829981,0.1532422478000323
IT,2019,0.12815560031048928,0.12568686778346697
IT,2020,0.0031465428893937388,0.16271815076470375
IT,2021,0.016657293913399512,0.12366644044717152
IT,2022,4.957759987734606,0.35032626303533715
IT,2023,4.8685410864137895,0.17496665753424168
NL,2010,0,0.07548911791915695
NL,2011,0.007153406838607129,0.05104723037220538
NL,2012,0.05701964428431905,0.04916208051145077
NL,2013,0.01802717683513817,0.057691731645415224
NL,2014,0.4073376845757498,0.11840384422490995
NL,2015,0,0.07068297468746702
NL,2016,0.11381019919729593,0.08804500723878543
NL,2017,0.04340711056958888,0.07625924982130527
NL,2018,0.015489052170846462,0.07018562437345584
NL,2019,0.3561213007229366,0.07773799635469913
NL,2020,0.008910723856906515,0.07846286861846845
NL,2021,0.018709393727089924,0.07192193530499935
NL,2022,4.2560028758470265,0.17889885666469732
